#--------------------------------------------------------------------------------,
Year                        ,,           1981,,,
Month                       ,,              1,,,
Day                         ,,              1,,,
Time                        ,,           17.0,decimal hours (UT),,
METADATA,
Country                     ,,             SU,NODC code,SOVIET UNION
Accession Number            ,,           230.,NODC code,,
Platform                    ,,          7558.,OCL code,SHEDAR (F/V; call sign UZXY; built 1965; IMO6600321),
Bottom depth                ,,           230.,meters,,
Wave Height                 ,,            10.,WMO code 1555,5 METER,
Wind Direction              ,,             4.,WMO code 0877,35 DEGREES - 44 DEGREES,
Wind speed                  ,,             5.,knots,,
Barometric pressure         ,,         1011.7,millibars,,
Air temperature (dry bulb)  ,,          25.00,degrees Celsius,,
Air temperature (wet bulb)  ,,          22.70,degrees Celsius,,
Cloud cover                 ,,             5.,WMO code 2700,5 OKTAS     6/10,
probe_type                  ,,             1.,OCL_code,MBT,
systematic_fix              ,,             0.,WOD code,no fix necessary,
Instrument       ,Temperature,             1.,WOD code,MBT: TYPE UNKNOWN,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,,
         1,        0.,0, ,     25.60,0, ,
         2,        5.,0, ,     25.60,0, ,
         3,       10.,0, ,     25.60,0, ,
         4,       15.,0, ,     25.60,0, ,
         5,       20.,0, ,     25.60,0, ,
         6,       25.,0, ,     25.55,0, ,
         7,       30.,0, ,     25.50,0, ,
         8,       35.,0, ,     25.50,0, ,
         9,       40.,0, ,     25.50,0, ,
        10,       45.,0, ,     25.48,0, ,
        11,       50.,0, ,     25.40,0, ,
        12,       55.,0, ,     25.29,0, ,
        13,       60.,0, ,     25.00,0, ,
        14,       65.,0, ,     24.00,0, ,
        15,       70.,0, ,     23.50,0, ,
        16,       75.,0, ,     23.35,0, ,
        17,       80.,0, ,     23.20,0, ,
        18,       85.,0, ,     23.05,0, ,
        19,       90.,0, ,     22.90,0, ,
        20,       95.,0, ,     22.83,0, ,
        21,      100.,0, ,     22.80,0, ,
        22,      125.,0, ,     18.30,0, ,
        23,      150.,0, ,     13.60,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,        5004938,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,SU-1004        ,,,
Originators Station ID      ,,               ,,,alpha,
Originators Cruise ID       ,,               ,,,
Latitude                    ,,          13.50,decimal degrees,,
Longitude                   ,,          54.33,decimal degrees,,
Year                        ,,           1981,,,
Month                       ,,              5,,,
Day                         ,,             22,,,
Time                        ,,           18.0,decimal hours (UT),,
METADATA,
Country                     ,,             SU,NODC code,SOVIET UNION
Accession Number            ,,       9300131.,NODC code,,
Bottom depth                ,,          2000.,meters,,
probe_type                  ,,             1.,OCL_code,MBT,
systematic_fix              ,,             0.,WOD code,no fix necessary,
Instrument       ,Temperature,             1.,WOD code,MBT: TYPE UNKNOWN,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,,
         1,        0.,0, ,      30.1,0, ,
         2,        5.,0, ,      30.1,0, ,
         3,       10.,0, ,      30.0,0, ,
         4,       15.,0, ,      29.7,0, ,
         5,       20.,0, ,      29.5,0, ,
         6,       25.,0, ,      29.3,0, ,
         7,       30.,0, ,      29.1,0, ,
         8,       35.,0, ,      28.9,0, ,
         9,       40.,0, ,      28.6,0, ,
        10,       45.,0, ,      28.3,0, ,
        11,       50.,0, ,      28.1,0, ,
        12,       55.,0, ,      27.9,0, ,
        13,       60.,0, ,      27.8,0, ,
        14,       65.,0, ,      27.7,0, ,
        15,       70.,0, ,      27.7,0, ,
